time,power_load
2015/7/31 0:00,801.59
2015/7/31 1:00,764.79
2015/7/31 2:00,758.74
2015/7/31 3:00,750.75
2015/7/31 4:00,748.23
2015/7/31 5:00,741.57
2015/7/31 6:00,739.85
2015/7/31 7:00,743.26
2015/7/31 8:00,758.08
2015/7/31 9:00,774.18
2015/7/31 10:00,794.58
2015/7/31 11:00,806.57
2015/7/31 12:00,811.57
2015/7/31 13:00,817.05
2015/7/31 14:00,818.83
2015/7/31 15:00,818.93
2015/7/31 16:00,821.15
2015/7/31 17:00,826.69
2015/7/31 18:00,837.23
2015/7/31 19:00,841.13
2015/7/31 20:00,838.67
2015/7/31 21:00,830.15
2015/7/31 22:00,817.79
2015/7/31 23:00,801.67
